Area,Stage,Name,FileType,Type,Link,Client,Status,Description,
SDLC,Deploy,Transition to Support Checklist (Template),Excel,Template,https://opportune.app.box.com/file/768663628554,,Documented,,
SDLC,Deploy,Deployment Plan (Sample),Word,Example,https://opportune.app.box.com/file/765888962696,DCP Midstream ,Documented,,
SDLC,Deploy,Project Closeout Sample,Powerpoint,Template,https://opportune.app.box.com/file/771082495718,,Documented,,
SDLC,Deploy,Transition to Support Checklist (Sample),Excel,Example,https://opportune.app.box.com/file/768673515390,,Documented,,
Process Flows,All,Reference Data,Visio,Template,https://opportune.app.box.com/file/942681008323,,Documented,,
Process Flows,Back Office,AR Cash Receipt,Visio,Template,https://opportune.app.box.com/file/943793224869,,Documented,,
Process Flows,Back Office,Invoicing,Visio,Template,https://opportune.app.box.com/file/943792131724,,Documented,,
Process Flows,Back Office,Revenue Accruals,Visio,Template,https://opportune.app.box.com/file/943792508446,,Documented,,
Process Flows,Front Office,Fin Trade Entry,Visio,Template,https://opportune.app.box.com/file/941566984830,,Documented,,
Process Flows,Front Office,Gas Scheduling,Visio,Template,https://opportune.app.box.com/file/941642745724,,Documented,,
Process Flows,Front Office,Physical Trade Entry,Visio,Template,https://opportune.app.box.com/file/940565030051,,Documented,,
Process Flows,Mid Office,Deal Confirm,Visio,Template,https://opportune.app.box.com/file/942197063759,,Documented,,
Process Flows,Mid Office,Maintain Credit,Visio,Template,https://opportune.app.box.com/file/944878105320,,Documented,,
Process Flows,Mid Office,New Counterparty,Visio,Template,https://opportune.app.box.com/file/943796139448,,Documented,,
Process Flows,Mid Office,New NAESB,Visio,Template,https://opportune.app.box.com/file/942191479079,,Documented,,
Process Flows,Mid Office,Price Reporting,Visio,Template,https://opportune.app.box.com/file/942659115765,,Documented,,
Process Flows,Mid Office,Risk Reporting,Visio,Template,https://opportune.app.box.com/file/942678996622,,Documented,,
Process Flows,Mid Office,Trade Compliance,Visio,Template,https://opportune.app.box.com/file/942676744726,,Documented,,
